Date Kog.,Sample Year, Cumulative CPUE,CPUE,Species
1-Jun,2017,1.33,1.33,Chinook
2-Jun,2017,1.33,0,Chinook
3-Jun,2017,2.69,1.36,Chinook
4-Jun,2017,5.39,2.7,Chinook
5-Jun,2017,5.39,0,Chinook
6-Jun,2017,5.39,0,Chinook
7-Jun,2017,8.09,2.7,Chinook
8-Jun,2017,8.09,0,Chinook
9-Jun,2017,9.45,1.36,Chinook
10-Jun,2017,12.12,2.67,Chinook
11-Jun,2017,17.79,5.67,Chinook
12-Jun,2017,20.58,2.79,Chinook
13-Jun,2017,23.25,2.67,Chinook
14-Jun,2017,27.28,4.03,Chinook
15-Jun,2017,35.54,8.26,Chinook
16-Jun,2017,43.29,7.75,Chinook
17-Jun,2017,43.29,0,Chinook
18-Jun,2017,47.26,3.97,Chinook
19-Jun,2017,71.18,23.92,Chinook
20-Jun,2017,80.54,9.36,Chinook
21-Jun,2017,93.93,13.39,Chinook
22-Jun,2017,108.87,14.94,Chinook
23-Jun,2017,121.06,12.19,Chinook
24-Jun,2017,147.9,26.84,Chinook
25-Jun,2017,160.75,12.85,Chinook
26-Jun,2017,168.42,7.67,Chinook
27-Jun,2017,196.22,27.8,Chinook
28-Jun,2017,215.53,19.31,Chinook
29-Jun,2017,228.02,12.49,Chinook
30-Jun,2017,241.54,13.52,Chinook
1-Jul,2017,253.51,11.97,Chinook
2-Jul,2017,256.64,3.13,Chinook
3-Jul,2017,265.51,8.87,Chinook
4-Jul,2017,278.08,12.57,Chinook
5-Jul,2017,283.74,5.66,Chinook
6-Jul,2017,288.96,5.22,Chinook
7-Jul,2017,296.44,7.48,Chinook
8-Jul,2017,303.6,7.16,Chinook
9-Jul,2017,311.12,7.52,Chinook
10-Jul,2017,312.23,1.11,Chinook
11-Jul,2017,321.29,9.06,Chinook
12-Jul,2017,328.2,6.91,Chinook
13-Jul,2017,330.78,2.58,Chinook
14-Jul,2017,338.46,7.68,Chinook
15-Jul,2017,343.56,5.1,Chinook
16-Jul,2017,345.34,1.78,Chinook
17-Jul,2017,345.34,0,Chinook
18-Jul,2017,350.02,4.68,Chinook
19-Jul,2017,356.25,6.23,Chinook
20-Jul,2017,356.25,0,Chinook
21-Jul,2017,356.25,0,Chinook
22-Jul,2017,357.92,1.67,Chinook
23-Jul,2017,359.66,1.74,Chinook
24-Jul,2017,362.8,3.14,Chinook
25-Jul,2017,362.8,0,Chinook
26-Jul,2017,364.5,1.7,Chinook
27-Jul,2017,364.5,0,Chinook
28-Jul,2017,364.5,0,Chinook
29-Jul,2017,366.28,1.78,Chinook
30-Jul,2017,366.28,0,Chinook
31-Jul,2017,366.28,0,Chinook
1-Aug,2017,367.85,1.57,Chinook
2-Aug,2017,367.85,0,Chinook
3-Aug,2017,369.45,1.6,Chinook
4-Aug,2017,369.45,0,Chinook
5-Aug,2017,371.12,1.67,Chinook
6-Aug,2017,371.12,0,Chinook
7-Aug,2017,371.12,0,Chinook
8-Aug,2017,371.12,0,Chinook
9-Aug,2017,371.12,0,Chinook
10-Aug,2017,371.12,0,Chinook
11-Aug,2017,371.12,0,Chinook
12-Aug,2017,371.12,0,Chinook
13-Aug,2017,371.12,0,Chinook
14-Aug,2017,371.12,0,Chinook
15-Aug,2017,372.86,1.74,Chinook
16-Aug,2017,372.86,0,Chinook
17-Aug,2017,372.86,0,Chinook
18-Aug,2017,372.86,0,Chinook
19-Aug,2017,372.86,0,Chinook
20-Aug,2017,372.86,0,Chinook
21-Aug,2017,372.86,0,Chinook
22-Aug,2017,372.86,0,Chinook
23-Aug,2017,374.46,1.6,Chinook
24-Aug,2017,374.46,0,Chinook
1-Jun,2018,1.46,1.46,Chinook
2-Jun,2018,3.22,1.76,Chinook
3-Jun,2018,5.04,1.82,Chinook
4-Jun,2018,11.4,6.36,Chinook
5-Jun,2018,12.73,1.33,Chinook
6-Jun,2018,12.73,0,Chinook
7-Jun,2018,20.98,8.25,Chinook
8-Jun,2018,20.98,0,Chinook
9-Jun,2018,28.92,7.94,Chinook
10-Jun,2018,37.57,8.65,Chinook
11-Jun,2018,49.35,11.78,Chinook
12-Jun,2018,66.67,17.32,Chinook
13-Jun,2018,90.66,23.99,Chinook
14-Jun,2018,112.43,21.77,Chinook
15-Jun,2018,145.39,32.96,Chinook
16-Jun,2018,161.04,15.65,Chinook
17-Jun,2018,174.3,13.26,Chinook
18-Jun,2018,188.73,14.43,Chinook
19-Jun,2018,198.64,9.91,Chinook
20-Jun,2018,212.68,14.04,Chinook
21-Jun,2018,221.17,8.49,Chinook
22-Jun,2018,234.53,13.36,Chinook
23-Jun,2018,274.89,40.36,Chinook
24-Jun,2018,305.9,31.01,Chinook
25-Jun,2018,354.05,48.15,Chinook
26-Jun,2018,386.59,32.54,Chinook
27-Jun,2018,405.65,19.06,Chinook
28-Jun,2018,433.75,28.1,Chinook
29-Jun,2018,461.42,27.67,Chinook
30-Jun,2018,480.78,19.36,Chinook
1-Jul,2018,507.21,26.43,Chinook
2-Jul,2018,522.3,15.09,Chinook
3-Jul,2018,545.71,23.41,Chinook
4-Jul,2018,558.42,12.71,Chinook
5-Jul,2018,581.83,23.41,Chinook
6-Jul,2018,590.14,8.31,Chinook
7-Jul,2018,596.9,6.76,Chinook
8-Jul,2018,602.3,5.4,Chinook
9-Jul,2018,606.03,3.73,Chinook
10-Jul,2018,618.55,12.52,Chinook
11-Jul,2018,624.44,5.89,Chinook
12-Jul,2018,626.9,2.46,Chinook
13-Jul,2018,628.18,1.28,Chinook
14-Jul,2018,632.88,4.7,Chinook
15-Jul,2018,636.6,3.72,Chinook
16-Jul,2018,639.68,3.08,Chinook
17-Jul,2018,643.01,3.33,Chinook
18-Jul,2018,648.34,5.33,Chinook
19-Jul,2018,648.34,0,Chinook
20-Jul,2018,648.34,0,Chinook
21-Jul,2018,648.34,0,Chinook
22-Jul,2018,650.01,1.67,Chinook
23-Jul,2018,651.75,1.74,Chinook
24-Jul,2018,651.75,0,Chinook
25-Jul,2018,651.75,0,Chinook
26-Jul,2018,656.79,5.04,Chinook
27-Jul,2018,660.02,3.23,Chinook
28-Jul,2018,660.02,0,Chinook
29-Jul,2018,661.72,1.7,Chinook
30-Jul,2018,663.42,1.7,Chinook
31-Jul,2018,663.42,0,Chinook
1-Aug,2018,663.42,0,Chinook
2-Aug,2018,663.42,0,Chinook
3-Aug,2018,663.42,0,Chinook
4-Aug,2018,663.42,0,Chinook
5-Aug,2018,663.42,0,Chinook
6-Aug,2018,663.42,0,Chinook
7-Aug,2018,663.42,0,Chinook
8-Aug,2018,663.42,0,Chinook
9-Aug,2018,663.42,0,Chinook
10-Aug,2018,663.42,0,Chinook
11-Aug,2018,663.42,0,Chinook
12-Aug,2018,665.12,1.7,Chinook
13-Aug,2018,665.12,0,Chinook
14-Aug,2018,667.29,2.17,Chinook
15-Aug,2018,667.29,0,Chinook
16-Aug,2018,667.29,0,Chinook