river,reachid,TribLength_km,Prop_Habitat
Eek,941,1250,0.030
Kwethluk,7293,1168,0.028
Kisaralik,7623,1434,0.034
Tuluksak,9927,798,0.019
Aniak,12171,2341,0.056
Holokuk,11823,409,0.010
Oskawalik,12686,479,0.011
George,13472,1150,0.027
Holitina,12297,7057,0.168
Stony.River,12630,3395,0.081
Swift,13187,2173,0.052
Tatlawiksuk,13330,917,0.022
Cheneetnuk,12843,702,0.017
Gagariah,11937,314,0.007
Takotna,15726,2307,0.055
Salmon.R.Pitka.Fork,15565,175,0.004
Pitka.Fork,15665,968,0.023
Middle.Fork.Kuskokwim,15675,3145,0.075
South.Fork.Kuskokwim,15739,2455,0.059
East.Fork.Kuskowim,15918,1726,0.041
North.Fork.Kuskokwim,16674,1451,0.035