river,reachid_trib
Alatna,16629
Andreafsky,2101
Anvik,3881
Beaver.Cr,16025
Big.Salmon,4995
Birch.Cr,16632
Black.Salmon.Fork,17137
Chandlar.Teedriinjik,16917
Charly,14897
Chatanika,12441
Chena,12218
Colleen,18307
Dakli,15476
Fishing.Branch,17529
Fortymile,12380
Goodpaster,9989
Hadweenzic,16878
Henshaw,16660
Hodzana,16257
Hogatza,15428
Indian,15154
Innoko,1985
John,17217
Kandik,15093
Kantishna,10822
Kanuti,16183
Kateel,14363
Klondike,11290
Kluane.Donjek.Tincup,5027
Koyokuk.mouth,12267
Little.Salmon,5333
Macmillan,8349
McQuesten,10646
Melozitna,11524
Middle.Fork.Koyokuk,17426
Miner,17301
Morely,988
Nation,14936
Nenana,10735
North.Fork.Koyokuk,17487
Nisling,5009
Nisutlin,1112
Nordenskiold,5028
Nowitna,12103
Nulato,11500
Pelly,7256
Pelly.ab.Macm,7919
Porcupine.Canada,19254
Porcupine.mouth,16892
Rodo,9362
Salcha,10832
South.Fork.Koyokuk,16468
Sheenjek,17257
SMS.Yukon.Canada.Tahkini,3968
Stewart,8335
Swift,735
Tanana.mouth,13301
Tatchun,5795
Teslin,4018
Tozitna,13326
Upper.Yukon.Canada,13525
White ,7650
Whitestone,17552
Wild,17330